margin,denom,bin,n_obs,n_munis,n_munis_with_sigma,mean_share_overall,total_var,between_muni_var,within_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within
A3_size_x_sec,V1,A_1,46032,5198,4922,0.0296748731541955,0.0192420921251941,0.00877399834215957,0.013272381635697,0.689757722255117,0,0,0.255761550349965
A3_size_x_sec,V1,A_2,46032,5198,4922,0.0186102085082594,0.0128290090779196,0.00530211619543167,0.00809349126747685,0.63087423341268,0,0,0.0667099793232969
A3_size_x_sec,V1,A_3,46032,5198,4922,0.00959273056168467,0.00673967919866925,0.00262025359868976,0.00425124076691588,0.63077791117347,0,0,0
A3_size_x_sec,V1,B_1,46032,5198,4922,0.0191153430456051,0.011689149389148,0.00705764488969158,0.00718524590945214,0.614693650516844,0,0,0.0930985624997841
A3_size_x_sec,V1,B_2,46032,5198,4922,0.00497605841855238,0.0030522004379047,0.00121213310200504,0.00190288829010615,0.623448010318896,0,0,0
A3_size_x_sec,V1,B_3,46032,5198,4922,0.00171733287753585,0.00126127502318396,0.000351673345820397,0.00084710111731333,0.671622843346971,0,0,0
A3_size_x_sec,V1,C_1,46032,5198,4922,0.123216673564922,0.0620282838421756,0.029947355643307,0.0401679370299646,0.647574534419937,0,0.0951429829491519,0.403479777536307
A3_size_x_sec,V1,C_2,46032,5198,4922,0.0841963792677721,0.0453119822862291,0.0160031401742913,0.0280100496430632,0.61815988243745,0,0,0.316227766016838
A3_size_x_sec,V1,C_3,46032,5198,4922,0.0556757421154369,0.0366035818690696,0.0130628760105846,0.019434714043457,0.530951154260657,0,0,0.267068402552869
A3_size_x_sec,V1,D_1,46032,5198,4922,0.0031300027678249,0.00252449208985533,0.000664639833241306,0.00202467256318902,0.80201184678897,0,0,0
A3_size_x_sec,V1,D_2,46032,5198,4922,0.000939748110082736,0.000641746717650641,0.000151077945595502,0.000521844199079272,0.813162241000128,0,0,0
A3_size_x_sec,V1,D_3,46032,5198,4922,0.000548025075602331,0.000397494871591321,3.77462933120933e-05,0.000339018493077283,0.852887715808924,0,0,0
A3_size_x_sec,V1,E_1,46032,5198,4922,0.00382071231188725,0.00189497300398126,0.000599431689751538,0.00152636308861562,0.805480123151516,0,0,0.00736326481555779
A3_size_x_sec,V1,E_2,46032,5198,4922,0.00242702349428126,0.00139955371422614,0.000288507923674241,0.00111991318259457,0.800193069555609,0,0,0
A3_size_x_sec,V1,E_3,46032,5198,4922,0.00039353025764308,0.000188103994134453,1.31671945473253e-05,0.000169271809241965,0.899884183857215,0,0,0
A3_size_x_sec,V1,F_1,46032,5198,4922,0.0294547285016192,0.0149807462349454,0.00768537326898599,0.0105654463921781,0.705268364237573,0,0,0.191752356824686
A3_size_x_sec,V1,F_2,46032,5198,4922,0.0104062613741361,0.00520930717459576,0.00166865299516018,0.00380475285362055,0.730375984003247,0,0,0.0328665585191821
A3_size_x_sec,V1,F_3,46032,5198,4922,0.00267402998613057,0.00145973191616611,0.000334807691385161,0.00106830668755966,0.73185129113673,0,0,0
A3_size_x_sec,V1,G_1,46032,5198,4922,0.292714390737499,0.136165246686407,0.0973586828995522,0.0718166896116725,0.527423049267987,0,0.280741625685751,0.49316800199135
A3_size_x_sec,V1,G_2,46032,5198,4922,0.0275105603445764,0.0139838656671096,0.00400810814643391,0.00981933353830651,0.702190207776512,0,0,0.145541080776492
A3_size_x_sec,V1,G_3,46032,5198,4922,0.0140332638978496,0.00913244266056569,0.00276714771915085,0.00623369984102634,0.682588445689755,0,0,0.0364525502428545
A3_size_x_sec,V1,H_1,46032,5198,4922,0.16974754379703,0.0791264178532841,0.0347183822586634,0.0505446770182021,0.638783839702207,0,0.149257166760273,0.408248290463863
A3_size_x_sec,V1,H_2,46032,5198,4922,0.0258012519877092,0.0126179464399027,0.00368353716425658,0.00884153112864109,0.700710782911621,0,0,0.12950169560673
A3_size_x_sec,V1,H_3,46032,5198,4922,0.00935842371653758,0.00456731010576733,0.00111476794212261,0.00295598928792662,0.64720573367549,0,0,0
A3_size_x_sec,V1,I_1,46032,5198,4922,0.00464832130914552,0.0024865031113689,0.000667296185045726,0.00209058973195983,0.840775031569896,0,0,0.0175164494350726
A3_size_x_sec,V1,I_2,46032,5198,4922,0.000451936872641123,0.000160258547521598,2.12965469786174e-05,0.000134005764148461,0.836184816478517,0,0,0
A3_size_x_sec,V1,I_3,46032,5198,4922,0.000207752804297598,0.000164070391699865,0.000128112862076259,6.08939103027018e-05,0.371145029104919,0,0,0
A3_size_x_sec,V1,J_1,46032,5198,4922,0.0146768327460381,0.00917516284813225,0.00120078983983586,0.00810526639247223,0.883392101767675,0,0,0.121226138715047
A3_size_x_sec,V1,J_2,46032,5198,4922,0.00568764518133843,0.00384882546104056,0.00144416592949416,0.00321682745621727,0.835794579094159,0,0,0.00419375420554063
A3_size_x_sec,V1,J_3,46032,5198,4922,0.00166643847694711,0.000937407151135123,7.35972738821253e-05,0.000824517019213476,0.879571932233559,0,0,0
A3_size_x_sec,V1,L_1,46032,5198,4922,0.00126143627615101,0.000754373886548045,0.00038323650810438,0.000606594906202503,0.804103796564636,0,0,0
A3_size_x_sec,V1,L_2,46032,5198,4922,0.000120227028539244,6.87039062115861e-05,4.59372046923794e-06,6.17516818680818e-05,0.898808892727384,0,0,0
A3_size_x_sec,V1,L_3,46032,5198,4922,2.1439594519861e-05,2.10312781535464e-05,9.50238787281659e-07,1.95294707005277e-05,0.928591717438466,0,0,0
A3_size_x_sec,V1,M_1,46032,5198,4922,0.00298606217560587,0.00148114446594046,0.000343697219308658,0.00125183972549008,0.845184081820958,0,0,0.00642637695295836
A3_size_x_sec,V1,M_2,46032,5198,4922,0.00102261011540825,0.000553447684635182,0.000117002324232801,0.000453047107132172,0.818590663055731,0,0,0
A3_size_x_sec,V1,M_3,46032,5198,4922,0.000623119465995324,0.000422087081321877,7.82359796589061e-05,0.000331642376995691,0.785720273544184,0,0,0
A3_size_x_sec,V1,N_1,46032,5198,4922,0.0149540505366364,0.00781579808741122,0.00385395097438245,0.00554581787086046,0.709565140864248,0,0,0.0771712109831378
A3_size_x_sec,V1,N_2,46032,5198,4922,0.0018524418880212,0.00090074966834684,0.000131075250605346,0.000732250756974709,0.812934806091708,0,0,0
A3_size_x_sec,V1,N_3,46032,5198,4922,0.0010606036817834,0.000506608672119216,6.70712838883328e-05,0.000409195686362732,0.8077155186685,0,0,0
A3_size_x_sec,V1,P_1,46032,5198,4922,0.00168228300919733,0.000732180035074711,0.000361854519960653,0.000603411545663236,0.824130018242937,0,0,0.00462176528918356
A3_size_x_sec,V1,P_2,46032,5198,4922,0.000456699072163273,0.000207015118408982,2.18158034898871e-05,0.000180004856768623,0.86952517358178,0,0,0
A3_size_x_sec,V1,P_3,46032,5198,4922,0.000374867919462543,0.000196242659293957,1.40169489802918e-05,0.000174469076256068,0.889047656018185,0,0,0
A3_size_x_sec,V1,Q_1,46032,5198,4922,0.00147383022802558,0.000509717437572478,7.6783498142077e-05,0.000450053481150956,0.882946997643104,0,0,0.0017654319102101
A3_size_x_sec,V1,Q_2,46032,5198,4922,0.00044873900364542,0.000123657520120138,7.76017836005442e-06,0.00011262212954576,0.910758435365222,0,0,0
A3_size_x_sec,V1,Q_3,46032,5198,4922,0.00059007660414013,0.00030893826705915,2.04796803402986e-05,0.000276724128714425,0.895726292986044,0,0,0
A3_size_x_sec,V1,R_1,46032,5198,4922,0.00130381080305625,0.000843367025245176,0.000140658971188009,0.000722550181350591,0.856744643461176,0,0,0
A3_size_x_sec,V1,R_2,46032,5198,4922,0.000226553278268736,0.000136055612470311,9.35091207582271e-06,0.000122847036535062,0.902917816505869,0,0,0
A3_size_x_sec,V1,R_3,46032,5198,4922,0.000560169853088774,0.000432262656710842,4.25088237956898e-05,0.000379651045018237,0.878287863002242,0,0,0
A3_size_x_sec,V1,S_1,46032,5198,4922,0.00153478390038061,0.00093563621672927,0.000355208796203941,0.00077746242192584,0.830945198598272,0,0,0.000541831499172249
A3_size_x_sec,V1,S_2,46032,5198,4922,0.000291079472580593,0.000116906208577347,1.2705068030454e-05,9.79985028416609e-05,0.838266025681803,0,0,0
A3_size_x_sec,V1,S_3,46032,5198,4922,8.13508285493169e-05,3.66012720828538e-05,3.31699534529465e-06,3.19421293578045e-05,0.872705442737006,0,0,0
